timestamps,TP9,AF7,AF8,TP10,Right AUX
1741724766.142,-1000.000,-1000.000,116.699,-1000.000,0.000
1741724766.146,-1000.000,-1000.000,591.309,-1000.000,0.000
1741724766.150,-1000.000,-1000.000,210.449,-1000.000,0.000
1741724766.154,-1000.000,-1000.000,-269.043,-1000.000,0.000
1741724766.158,-932.617,-937.988,-295.410,-928.711,0.000
1741724766.162,-1000.000,-1000.000,-21.484,-1000.000,0.000
1741724766.166,-705.566,-770.508,287.109,-433.594,0.000
1741724766.170,742.188,662.598,181.641,947.754,0.000
1741724766.174,999.512,999.512,-206.543,992.676,0.000
1741724766.178,907.227,905.762,0.488,925.781,0.000
1741724766.181,985.352,984.863,593.262,982.910,0.000
1741724766.185,969.727,970.215,852.051,970.703,0.000
1741724766.189,969.727,970.703,845.703,970.215,0.000
1741724766.193,969.727,970.703,963.867,970.215,0.000
1741724766.197,969.727,970.703,970.215,970.215,0.000
1741724766.201,969.727,970.703,976.562,970.215,0.000
1741724766.205,969.727,970.215,936.035,970.703,0.000
1741724766.209,969.727,970.215,757.324,970.215,0.000
1741724766.213,969.727,970.703,859.863,970.215,0.000
1741724766.217,969.727,970.703,961.426,970.215,0.000
1741724766.221,969.727,970.703,914.551,970.703,0.000
1741724766.224,969.727,970.703,869.141,970.703,0.000
1741724766.228,969.727,970.215,897.461,970.215,0.000
1741724766.232,981.934,984.863,984.375,973.633,0.000
1741724766.236,921.875,912.109,966.309,955.566,0.000
1741724766.240,999.512,999.512,970.703,931.641,0.000
1741724766.244,887.207,787.598,972.656,999.512,0.000
1741724766.248,-487.305,-632.324,941.895,-50.781,0.000
1741724766.252,-1000.000,-1000.000,999.512,-1000.000,0.000
1741724766.256,-933.105,-934.082,691.895,-953.613,0.000
1741724766.260,-1000.000,-1000.000,210.938,-990.234,0.000
1741724766.263,-1000.000,-1000.000,589.844,-1000.000,0.000
1741724766.267,-1000.000,-1000.000,806.152,-1000.000,0.000
1741724766.271,-1000.000,-1000.000,434.082,-1000.000,0.000
1741724766.275,-1000.000,-1000.000,238.770,-1000.000,0.000
1741724766.279,-1000.000,-1000.000,507.324,-1000.000,0.000
1741724766.283,-1000.000,-1000.000,804.688,-1000.000,0.000
1741724766.287,-1000.000,-1000.000,790.527,-1000.000,0.000
1741724766.291,-1000.000,-1000.000,501.465,-1000.000,0.000
1741724766.295,-1000.000,-1000.000,364.746,-1000.000,0.000
1741724766.299,-1000.000,-1000.000,519.043,-1000.000,0.000
1741724766.303,-1000.000,-1000.000,559.082,-993.652,0.000
1741724766.306,-937.500,-937.500,557.617,-949.219,0.000
1741724766.310,-1000.000,-1000.000,769.043,-1000.000,0.000
