timestamps,PPG1,PPG2,PPG3,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1741750495.143,31911.000,25155.000,24.000,93914.227,0.002
1741750495.143,31909.000,25154.000,31.000,93914.227,0.002
1741750495.143,31937.000,25187.000,27.000,93914.227,0.002
1741750495.143,31888.000,25159.000,34.000,93914.227,0.002
1741750495.233,31946.000,25159.000,35.000,93914.320,-0.002
1741750495.233,31909.000,25127.000,27.000,93914.320,-0.002
1741750495.233,31893.000,25158.000,60.000,93914.320,-0.002
1741750495.233,31925.000,25137.000,47.000,93914.320,-0.002
1741750495.233,31906.000,25140.000,59.000,93914.320,-0.002
1741750495.233,31857.000,25122.000,66.000,93914.320,-0.002
1741750495.324,31920.000,25141.000,27.000,93914.406,0.003
1741750495.324,31899.000,25159.000,106.000,93914.406,0.003
1741750495.324,31808.000,25160.000,31.000,93914.406,0.003
1741750495.324,31828.000,25173.000,41.000,93914.406,0.003
1741750495.324,31907.000,25140.000,49.000,93914.406,0.003
1741750495.324,31844.000,25231.000,24.000,93914.406,0.003
1741750495.414,31930.000,25151.000,32.000,93914.500,-0.000
1741750495.414,31934.000,25147.000,30.000,93914.500,-0.000
1741750495.414,31914.000,25164.000,47.000,93914.500,-0.000
1741750495.414,31910.000,25136.000,41.000,93914.500,-0.000
1741750495.414,31977.000,25137.000,26.000,93914.500,-0.000
1741750495.414,31906.000,25146.000,28.000,93914.500,-0.000
1741750495.518,31922.000,25120.000,31.000,93914.602,0.002
1741750495.518,31939.000,25124.000,35.000,93914.602,0.002
1741750495.518,31906.000,25153.000,90.000,93914.602,0.002
1741750495.518,31937.000,25183.000,29.000,93914.602,0.002
1741750495.518,31911.000,25133.000,47.000,93914.602,0.002
1741750495.518,31902.000,25152.000,77.000,93914.602,0.002
1741750495.609,31880.000,25154.000,29.000,93914.695,-0.001
1741750495.609,31911.000,25154.000,67.000,93914.695,-0.001
1741750495.609,31843.000,25156.000,36.000,93914.695,-0.001
1741750495.609,31909.000,25188.000,32.000,93914.695,-0.001
1741750495.609,31861.000,25159.000,27.000,93914.695,-0.001
1741750495.609,31936.000,25183.000,34.000,93914.695,-0.001
1741750495.699,31893.000,25169.000,22.000,93914.781,0.003
1741750495.699,31946.000,25157.000,33.000,93914.781,0.003
1741750495.699,31903.000,25120.000,35.000,93914.781,0.003
1741750495.699,31903.000,25159.000,55.000,93914.781,0.003
1741750495.699,31946.000,25156.000,35.000,93914.781,0.003
1741750495.699,31911.000,25136.000,50.000,93914.781,0.003
1741750495.788,31894.000,25137.000,37.000,93914.875,-0.001
1741750495.788,31865.000,25133.000,32.000,93914.875,-0.001
1741750495.788,31909.000,25176.000,139.000,93914.875,-0.001
1741750495.788,31913.000,25154.000,35.000,93914.875,-0.001
1741750495.788,31894.000,25213.000,28.000,93914.875,-0.001
1741750495.788,31912.000,25159.000,70.000,93914.875,-0.001
1741750495.879,31909.000,25183.000,35.000,93914.961,0.003
1741750495.879,31910.000,25164.000,32.000,93914.961,0.003
1741750495.879,31876.000,25149.000,41.000,93914.961,0.003
1741750495.879,31919.000,25171.000,25.000,93914.961,0.003
1741750495.879,31910.000,25162.000,29.000,93914.961,0.003
1741750495.879,31962.000,25149.000,31.000,93914.961,0.003
1741750495.984,31906.000,25169.000,62.000,93915.070,-0.001
1741750495.984,31910.000,25148.000,48.000,93915.070,-0.001
1741750495.984,31923.000,25120.000,27.000,93915.070,-0.001
1741750495.984,31919.000,25161.000,85.000,93915.070,-0.001
1741750495.984,31865.000,25103.000,32.000,93915.070,-0.001
1741750495.984,31910.000,25121.000,35.000,93915.070,-0.001
1741750496.074,31862.000,25146.000,27.000,93915.156,0.003
