timestamps,X,Y,Z
1741743551.343,0.333,0.145,-0.941
1741743551.399,0.333,0.147,-0.940
1741743551.399,0.333,0.150,-0.942
1741743551.399,0.331,0.145,-0.942
1741743551.459,0.329,0.147,-0.940
1741743551.459,0.332,0.147,-0.943
1741743551.459,0.329,0.146,-0.940
1741743551.522,0.333,0.144,-0.941
1741743551.522,0.332,0.148,-0.942
1741743551.522,0.333,0.147,-0.945
1741743551.580,0.333,0.145,-0.943
1741743551.580,0.332,0.149,-0.942
1741743551.580,0.333,0.146,-0.943
1741743551.647,0.337,0.148,-0.936
1741743551.647,0.333,0.145,-0.937
1741743551.647,0.334,0.152,-0.941
1741743551.684,0.332,0.147,-0.941
1741743551.684,0.332,0.145,-0.940
1741743551.684,0.333,0.148,-0.942
1741743551.745,0.331,0.149,-0.943
1741743551.745,0.333,0.145,-0.941
1741743551.745,0.334,0.143,-0.940
1741743551.805,0.331,0.146,-0.942
1741743551.805,0.335,0.144,-0.942
1741743551.805,0.330,0.144,-0.939
1741743551.853,0.331,0.145,-0.940
1741743551.853,0.335,0.144,-0.943
1741743551.853,0.329,0.142,-0.937
1741743551.909,0.333,0.147,-0.943
1741743551.909,0.332,0.146,-0.940
1741743551.909,0.332,0.145,-0.941
1741743551.969,0.333,0.144,-0.937
1741743551.969,0.333,0.149,-0.943
1741743551.969,0.331,0.140,-0.944
1741743552.030,0.331,0.142,-0.939
1741743552.030,0.329,0.144,-0.941
1741743552.030,0.332,0.143,-0.941
1741743552.091,0.335,0.146,-0.941
1741743552.091,0.332,0.144,-0.942
1741743552.091,0.331,0.145,-0.942
1741743552.137,0.330,0.151,-0.940
1741743552.137,0.334,0.148,-0.941
1741743552.137,0.328,0.141,-0.941
1741743552.195,0.332,0.148,-0.939
1741743552.195,0.329,0.151,-0.943
1741743552.195,0.336,0.147,-0.942
1741743552.254,0.332,0.148,-0.940
1741743552.254,0.336,0.145,-0.939
1741743552.254,0.333,0.145,-0.942
1741743552.314,0.336,0.148,-0.940
1741743552.314,0.332,0.147,-0.939
1741743552.314,0.335,0.147,-0.945
1741743552.359,0.337,0.146,-0.942
1741743552.359,0.332,0.147,-0.940
1741743552.359,0.335,0.145,-0.941
1741743552.422,0.330,0.147,-0.941
1741743552.422,0.333,0.149,-0.938
1741743552.422,0.334,0.148,-0.939
1741743552.479,0.335,0.147,-0.941
1741743552.479,0.335,0.149,-0.943
1741743552.479,0.328,0.144,-0.938
1741743552.539,0.333,0.145,-0.940
1741743552.539,0.332,0.144,-0.939
1741743552.539,0.331,0.145,-0.941
1741743552.584,0.333,0.144,-0.941
1741743552.584,0.336,0.150,-0.942
1741743552.584,0.332,0.148,-0.939
1741743552.645,0.333,0.143,-0.941
1741743552.645,0.333,0.143,-0.944
1741743552.645,0.333,0.146,-0.943
1741743552.706,0.333,0.146,-0.943
1741743552.706,0.331,0.148,-0.939
1741743552.706,0.333,0.148,-0.942
1741743552.752,0.333,0.151,-0.945
1741743552.752,0.334,0.145,-0.939
1741743552.752,0.333,0.144,-0.939
1741743552.810,0.332,0.145,-0.940
1741743552.810,0.333,0.144,-0.941
1741743552.810,0.333,0.150,-0.943
1741743552.869,0.333,0.144,-0.939
1741743552.869,0.333,0.143,-0.942
1741743552.869,0.331,0.149,-0.943
1741743552.930,0.330,0.144,-0.940
1741743552.930,0.330,0.143,-0.939
1741743552.930,0.335,0.146,-0.940
1741743552.978,0.334,0.146,-0.938
1741743552.978,0.335,0.147,-0.943
1741743552.978,0.331,0.149,-0.938
1741743553.034,0.330,0.141,-0.940
1741743553.034,0.331,0.149,-0.944
1741743553.034,0.331,0.141,-0.943
1741743553.094,0.329,0.150,-0.942
1741743553.094,0.334,0.146,-0.939
1741743553.094,0.332,0.147,-0.941
1741743553.154,0.333,0.146,-0.943
1741743553.154,0.334,0.147,-0.941
1741743553.154,0.330,0.149,-0.940
1741743553.215,0.332,0.145,-0.942
1741743553.215,0.331,0.146,-0.939
1741743553.215,0.339,0.174,-0.950
1741743553.273,0.343,0.149,-0.952
1741743553.273,0.338,0.138,-0.953
1741743553.273,0.328,0.132,-0.948
1741743553.320,0.328,0.143,-0.929
1741743553.320,0.328,0.150,-0.928
1741743553.320,0.333,0.156,-0.942
1741743553.379,0.336,0.149,-0.952
1741743553.379,0.331,0.136,-0.949
1741743553.379,0.329,0.135,-0.938
1741743553.440,0.328,0.148,-0.926
1741743553.440,0.333,0.158,-0.935
1741743553.440,0.340,0.157,-0.944
1741743553.499,0.337,0.144,-0.953
1741743553.499,0.329,0.131,-0.945
1741743553.499,0.327,0.140,-0.934
1741743553.560,0.328,0.144,-0.930
1741743553.560,0.331,0.157,-0.936
1741743553.560,0.340,0.151,-0.947
1741743553.604,0.335,0.139,-0.954
1741743553.604,0.326,0.131,-0.947
1741743553.604,0.330,0.150,-0.936
1741743553.664,0.331,0.146,-0.941
